,Units,scenario,region,sector,subsector,technology,Year,value
134,1990$/pass-km,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",Africa_Western,trn_pass,HSR,Electric,2075,0.1925
135,1990$/pass-km,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",Africa_Western,trn_pass,HSR,Electric,2080,0.192338
136,1990$/pass-km,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",Africa_Western,trn_pass,HSR,Electric,2085,0.1922
137,1990$/pass-km,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",Africa_Western,trn_pass,HSR,Electric,2090,0.192082
138,1990$/pass-km,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",Africa_Western,trn_pass,HSR,Electric,2095,0.191983
139,1990$/pass-km,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",Africa_Western,trn_pass,HSR,Electric,2100,0.191921
140,1990$/pass-km,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",Africa_Western,trn_pass,Passenger Rail,Electric,2005,0.0156042
141,1990$/pass-km,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",Africa_Western,trn_pass,Passenger Rail,Electric,2010,0.0173888
142,1990$/pass-km,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",Africa_Western,trn_pass,Passenger Rail,Electric,2015,0.0169304
143,1990$/pass-km,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",Africa_Western,trn_pass,Passenger Rail,Electric,2020,0.011349
144,1990$/pass-km,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",Africa_Western,trn_pass,Passenger Rail,Electric,2025,0.0116124
145,1990$/pass-km,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",Africa_Western,trn_pass,Passenger Rail,Electric,2030,0.0116825
146,1990$/pass-km,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",Africa_Western,trn_pass,Passenger Rail,Electric,2035,0.0117615
147,1990$/pass-km,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",Africa_Western,trn_pass,Passenger Rail,Electric,2040,0.0117234
148,1990$/pass-km,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",Africa_Western,trn_pass,Passenger Rail,Electric,2045,0.01158
149,1990$/pass-km,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",Africa_Western,trn_pass,Passenger Rail,Electric,2050,0.0113635
150,1990$/pass-km,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",Africa_Western,trn_pass,Passenger Rail,Electric,2055,0.0111278
