,Units,scenario,region,Year,value
204,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Central Asia,2025,149.94666865755403
205,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Central Asia,2030,131.33596531786006
206,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Central Asia,2035,112.59697282505701
207,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Central Asia,2040,101.21549385729496
208,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Central Asia,2045,90.78499290351202
209,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Central Asia,2050,80.58150857469138
210,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Central Asia,2055,70.03255111838655
211,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Central Asia,2060,57.01125620118441
212,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Central Asia,2065,35.4593171211333
213,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Central Asia,2070,6.689357312103562
214,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Central Asia,2075,-11.920885120961856
215,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Central Asia,2080,-27.036470155127997
216,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Central Asia,2085,-39.297096025237146
217,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Central Asia,2090,-50.11925822265572
218,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Central Asia,2095,-60.70773413718952
219,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Central Asia,2100,-71.63759024627313
220,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",China,1975,193.79699906999997
221,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",China,1990,696.4272410687404
222,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",China,2005,1819.0502429693001
223,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",China,2010,2617.0139551010016
224,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",China,2015,2989.4930675319997
225,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",China,2020,3441.8451154219983
226,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",China,2025,3236.648246208499
227,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",China,2030,2819.493784832402
228,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",China,2035,2250.9281724300004
229,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",China,2040,1788.8805400880012
230,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",China,2045,1354.7254291734002
231,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",China,2050,998.7664027187021
232,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",China,2055,725.4684450042005
233,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",China,2060,501.3322991492984
234,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",China,2065,302.39738522615954
235,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",China,2070,150.15825003002976
236,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",China,2075,17.09341394566273
237,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",China,2080,-112.2600624577575
238,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",China,2085,-253.82535672288284
239,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",China,2090,-400.7394318360756
240,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",China,2095,-538.8213426268353
241,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",China,2100,-646.798845621978
242,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Colombia,1975,5.534146939000001
243,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Colombia,1990,15.044656569999997
244,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Colombia,2005,17.603005921999998
245,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Colombia,2010,21.182717822
246,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Colombia,2015,25.521755980000002
247,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Colombia,2020,28.644122465300022
248,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Colombia,2025,29.157768127300002
249,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Colombia,2030,28.376948591560005
250,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Colombia,2035,24.881384159679996
251,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Colombia,2040,22.28126322520001
252,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Colombia,2045,19.82093276946002
253,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Colombia,2050,16.511358344098
254,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Colombia,2055,13.128460894027016
255,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Colombia,2060,8.947041663465349
256,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Colombia,2065,2.490580992794708
257,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Colombia,2070,-3.4770539955291673
258,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Colombia,2075,-8.849839630986697
