,Units,scenario,region,sector,Year,value
204,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,delivered gas,2015,-7.4504284957667245e-22
205,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,delivered gas,2020,-4.929438875683423e-12
206,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,delivered gas,2045,-3.055783104578298e-08
207,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,delivered gas,2055,-9.576601491583947e-09
208,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,delivered gas,2065,-2.6975879152676283e-08
209,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,delivered gas,2075,-1.1675473499844718e-07
210,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,delivered gas,2095,-6.745969710414062e-09
211,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,delivered gas,2100,-2.534095329754854e-10
212,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,desalinated water,1990,0.000533494
213,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,desalinated water,2005,0.0005082416
214,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,desalinated water,2010,0.0005118598121594998
215,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,desalinated water,2015,0.0005208903028828584
216,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,desalinated water,2020,0.0004845596373694688
217,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,desalinated water,2025,0.0005211985124586263
218,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,desalinated water,2030,0.0005915181506565685
