,region,scenario,input,Year,value
164,Brazil,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",d biomass,2045,3.105436674409999
165,Brazil,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",d biomass,2050,2.7528585181020007
166,Brazil,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",d biomass,2055,2.301689219943999
167,Brazil,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",d biomass,2060,1.8193083907418997
168,Brazil,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",d biomass,2065,1.4032418553107
169,Brazil,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",d biomass,2070,1.08892429660173
170,Brazil,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",d biomass,2075,0.8402071758433101
171,Brazil,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",d biomass,2080,0.6252433048707622
172,Brazil,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",d biomass,2085,0.44210208455178523
173,Brazil,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",d biomass,2090,0.29854953625548203
174,Brazil,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",d biomass,2095,0.190270260390954
175,Brazil,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",d biomass,2100,0.10177366949048401
176,Brazil,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",electricity,2005,1.1827334810000003
177,Brazil,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",electricity,2010,1.5158786919999996
178,Brazil,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",electricity,2015,1.709592704
179,Brazil,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",electricity,2020,2.018377336
180,Brazil,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",electricity,2025,2.596583406681599
181,Brazil,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",electricity,2030,3.2848924405374005
182,Brazil,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",electricity,2035,4.068780380365691
183,Brazil,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",electricity,2040,4.893999950431152
184,Brazil,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",electricity,2045,5.644168051858002
185,Brazil,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",electricity,2050,6.321603893319996
186,Brazil,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",electricity,2055,6.998059657259999
187,Brazil,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",electricity,2060,7.627789232840003
188,Brazil,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",electricity,2065,8.11204973551
189,Brazil,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",electricity,2070,8.403412770149995
190,Brazil,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",electricity,2075,8.578569759946998
191,Brazil,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",electricity,2080,8.6527331075431
192,Brazil,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",electricity,2085,8.648963727838296
193,Brazil,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",electricity,2090,8.546456803282796
194,Brazil,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",electricity,2095,8.350834291617598
195,Brazil,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",electricity,2100,8.089459049082096
196,Brazil,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",gas,2005,0.5303560659999998
197,Brazil,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",gas,2010,0.6830508569999999
198,Brazil,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",gas,2015,0.763293263
199,Brazil,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",gas,2020,0.8753088749
200,Brazil,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",gas,2025,0.9316526049999999
201,Brazil,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",gas,2030,0.9296631933799997
202,Brazil,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",gas,2035,0.8592565523199994
203,Brazil,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",gas,2040,0.7684926037750002
204,Brazil,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",gas,2045,0.7219895350559998
205,Brazil,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",gas,2050,0.6986308691330003
206,Brazil,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",gas,2055,0.6779580301810001
207,Brazil,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",gas,2060,0.641616452287
208,Brazil,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",gas,2065,0.590531730177
209,Brazil,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",gas,2070,0.5356911275053998
210,Brazil,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",gas,2075,0.4777778866496995
211,Brazil,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",gas,2080,0.4162669816394499
212,Brazil,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",gas,2085,0.354939794866469
213,Brazil,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",gas,2090,0.29594579882042005
214,Brazil,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",gas,2095,0.24058235060864988
215,Brazil,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",gas,2100,0.18863840952720004
216,Brazil,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",hydrogen,2025,0.01157233303
217,Brazil,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",hydrogen,2030,0.053950494751
218,Brazil,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",hydrogen,2035,0.1091849147202
219,Brazil,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",hydrogen,2040,0.15834695909399998
220,Brazil,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",hydrogen,2045,0.19182180835999998
221,Brazil,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",hydrogen,2050,0.22174523957499997
222,Brazil,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",hydrogen,2055,0.2557781255389999
223,Brazil,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",hydrogen,2060,0.304990538831
224,Brazil,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",hydrogen,2065,0.37816422228999996
225,Brazil,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",hydrogen,2070,0.45918867710000016
226,Brazil,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",hydrogen,2075,0.5426195868999999
